"Name","best_gain (Max)","best_gain","Runtime","Notes","Tags","lora_r","lr","val_fold_idx","num_iterations","best_miou","gain","gain_it_1","gain_it_2","gain_it_3","gain_it_4","miou","miou_it_1","miou_it_2","miou_it_3","miou_it_4","miou_orig","trainable_params"
"rosy-microwave-117","0.06013932824134827","0.06013932824134827","6","-","","64","0.001","0","5","0.3790516257286072","0.06013932824134827","-0.0025028586387634277","0.025406479835510254","0.03940257430076599","0.06013932824134827","0.3790516257286072","0.3164094388484955","0.34431877732276917","0.3583148717880249","0.3790516257286072","0.3189122974872589","2359296"
"autumn-disco-127","0.05386477708816528","0.05386477708816528","6","-","","32","0.001","0","5","0.3727770745754242","0.05386477708816528","0.024340540170669556","0.028830349445343018","0.05197626352310181","0.05386477708816528","0.3727770745754242","0.34325283765792847","0.34774264693260193","0.3708885610103607","0.3727770745754242","0.3189122974872589","1179648"
"swift-vortex-122","0.05118614435195923","0.05118614435195923","7","-","","16","0.001","0","5","0.37009844183921814","0.05118614435195923","0.03025752305984497","0.03638538718223572","0.04841214418411255","0.05118614435195923","0.37009844183921814","0.3491698205471039","0.35529768466949463","0.36732444167137146","0.37009844183921814","0.3189122974872589","589824"
"peachy-galaxy-112","0.04947322607040405","0.04947322607040405","6","-","","32","0.001","2","5","0.41134515404701233","0.046239227056503296","0.017761796712875366","0.013891398906707764","0.04947322607040405","0.046239227056503296","0.4081111550331116","0.37963372468948364","0.37576332688331604","0.41134515404701233","0.4081111550331116","0.3618719279766083","1179648"
"swift-leaf-130","0.045611679553985596","0.045611679553985596","6","-","","16","0.001","1","5","0.40110474824905396","0.045611679553985596","0.008872240781784058","0.022401779890060425","0.03247371315956116","0.045611679553985596","0.40110474824905396","0.3643653094768524","0.3778948485851288","0.3879667818546295","0.40110474824905396","0.35549306869506836","589824"
"devoted-disco-114","0.04534125328063965","0.04534125328063965","6","-","","64","0.0001","0","5","0.36425355076789856","0.04534125328063965","0.020127147436141968","0.02965480089187622","0.040661245584487915","0.04534125328063965","0.36425355076789856","0.3390394449234009","0.34856709837913513","0.3595735430717468","0.36425355076789856","0.3189122974872589","2359296"
"copper-flower-118","0.04285845160484314","0.04285845160484314","6","-","","16","0.001","2","5","0.4047303795814514","0.04285845160484314","0.02409645915031433","0.020094454288482663","0.038283199071884155","0.04285845160484314","0.4047303795814514","0.3859683871269226","0.38196638226509094","0.4001551270484924","0.4047303795814514","0.3618719279766083","589824"
"wandering-night-115","0.04256579279899597","0.04256579279899597","7","-","","32","0.001","1","5","0.39805886149406433","0.04256579279899597","0.001055210828781128","0.01989048719406128","0.032941073179244995","0.04256579279899597","0.39805886149406433","0.3565482795238495","0.37538355588912964","0.38843414187431335","0.39805886149406433","0.35549306869506836","1179648"
"quiet-waterfall-124","0.03767678141593933","0.03767678141593933","7","-","","32","0.0001","0","5","0.35658907890319824","0.03767678141593933","0.011378079652786255","0.019212663173675537","0.027820706367492676","0.03767678141593933","0.35658907890319824","0.33029037714004517","0.33812496066093445","0.3467330038547516","0.35658907890319824","0.3189122974872589","1179648"
"clear-bee-131","0.03708186745643616","0.03708186745643616","6","-","","32","0.001","3","5","0.42304491996765137","0.03708186745643616","0.012809425592422485","0.02393481135368347","0.027362734079360962","0.03708186745643616","0.42304491996765137","0.3987724781036377","0.4098978638648987","0.41332578659057617","0.42304491996765137","0.3859630525112152","1179648"
"dauntless-grass-119","0.03464853763580322","0.03464853763580322","6","-","","64","0.001","3","5","0.42061159014701843","0.03464853763580322","-0.009743273258209229","0.008050143718719482","0.02450987696647644","0.03464853763580322","0.42061159014701843","0.376219779253006","0.3940131962299347","0.41047292947769165","0.42061159014701843","0.3859630525112152","2359296"
"magic-universe-123","0.027595877647399902","0.027595877647399902","7","-","","16","0.001","3","5","0.4135589301586151","0.02434965968132019","0.017203330993652344","0.01871192455291748","0.027595877647399902","0.02434965968132019","0.4103127121925354","0.40316638350486755","0.4046749770641327","0.4135589301586151","0.4103127121925354","0.3859630525112152","589824"
"vital-yogurt-108","0.027543991804122925","0.027543991804122925","6","-","","64","0.001","1","5","0.3830370604991913","0.027543991804122925","-0.016248345375061035","0.0029851198196411133","0.017013520002365112","0.027543991804122925","0.3830370604991913","0.3392447233200073","0.3584781885147095","0.37250658869743347","0.3830370604991913","0.35549306869506836","2359296"
"dauntless-surf-110","0.026164770126342773","0.026164770126342773","7","-","","64","0.0001","2","5","0.38803669810295105","0.026164770126342773","0.013145476579666138","0.01841023564338684","0.022701770067214966","0.026164770126342773","0.38803669810295105","0.3750174045562744","0.3802821636199951","0.38457369804382324","0.38803669810295105","0.3618719279766083","2359296"
"wobbly-serenity-111","0.024630188941955566","0.024630188941955566","7","-","","64","0.001","2","5","0.38650211691856384","0.02022150158882141","-0.014479666948318481","-0.011919260025024414","0.024630188941955566","0.02022150158882141","0.3820934295654297","0.3473922610282898","0.34995266795158386","0.38650211691856384","0.3820934295654297","0.3618719279766083","2359296"
"fragrant-dragon-109","0.02411600947380066","0.02411600947380066","6","-","","64","0.0001","1","5","0.379609078168869","0.02411600947380066","0.012253731489181519","0.015382736921310425","0.01848021149635315","0.02411600947380066","0.379609078168869","0.3677468001842499","0.3708758056163788","0.3739732801914215","0.379609078168869","0.35549306869506836","2359296"
"zany-lake-113","0.023325979709625244","0.023325979709625244","6","-","","16","0.0001","0","5","0.34223827719688416","0.023325979709625244","0.005919933319091797","0.011361241340637207","0.016953885555267334","0.023325979709625244","0.34223827719688416","0.3248322308063507","0.3302735388278961","0.33586618304252625","0.34223827719688416","0.3189122974872589","589824"
"stoic-shadow-120","0.023197174072265625","0.023197174072265625","6","-","","64","0.0001","3","5","0.4091602265834808","0.023197174072265625","0.016119837760925293","0.02135646343231201","0.02262002229690552","0.023197174072265625","0.4091602265834808","0.4020828902721405","0.4073195159435272","0.4085830748081207","0.4091602265834808","0.3859630525112152","2359296"
"smart-glitter-125","0.020713001489639282","0.020713001489639282","7","-","","32","0.0001","3","5","0.4066760540008545","0.020713001489639282","0.00921010971069336","0.015436619520187378","0.019076496362686157","0.020713001489639282","0.4066760540008545","0.39517316222190857","0.4013996720314026","0.40503954887390137","0.4066760540008545","0.3859630525112152","1179648"
"laced-energy-121","0.020090341567993164","0.020090341567993164","6","-","","32","0.0001","2","5","0.38196226954460144","0.020090341567993164","0.00879812240600586","0.012141704559326172","0.016651540994644165","0.020090341567993164","0.38196226954460144","0.37067005038261414","0.37401363253593445","0.37852346897125244","0.38196226954460144","0.3618719279766083","1179648"
"restful-puddle-126","0.01750299334526062","0.01750299334526062","7","-","","32","0.0001","1","5","0.372996062040329","0.01750299334526062","0.006612062454223633","0.01075965166091919","0.014221429824829102","0.01750299334526062","0.372996062040329","0.362105131149292","0.36625272035598755","0.36971449851989746","0.372996062040329","0.35549306869506836","1179648"
"trim-totem-116","0.016879945993423462","0.016879945993423462","6","-","","16","0.0001","3","5","0.4028429985046386","0.016879945993423462","0.005004823207855225","0.009142458438873293","0.013381987810134888","0.016879945993423462","0.4028429985046386","0.3909678757190704","0.3951055109500885","0.3993450403213501","0.4028429985046386","0.3859630525112152","589824"
"rose-butterfly-129","0.012941747903823853","0.012941747903823853","6","-","","16","0.0001","2","5","0.37481367588043213","0.012941747903823853","0.004585981369018555","0.007495701313018799","0.009874910116195679","0.012941747903823853","0.37481367588043213","0.36645790934562683","0.3693676292896271","0.37174683809280396","0.37481367588043213","0.3618719279766083","589824"
"grateful-breeze-128","0.01235884428024292","0.01235884428024292","6","-","","16","0.0001","1","5","0.3678519129753113","0.01235884428024292","0.003190368413925171","0.005763322114944458","0.009182780981063843","0.01235884428024292","0.3678519129753113","0.35868343710899353","0.3612563908100128","0.3646758496761322","0.3678519129753113","0.35549306869506836","589824"
